year,state,state_abbreviation,office,candidate,party_detailed,writein,candidatevotes,totalvotes,party_simplified
1976,ALABAMA,AL,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,659170,1182850,DEMOCRAT
1976,ALABAMA,AL,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,504070,1182850,REPUBLICAN
1976,ALABAMA,AL,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,FALSE,9198,1182850,OTHER
1976,ALABAMA,AL,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,FALSE,6669,1182850,OTHER
1976,ALABAMA,AL,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,FALSE,1954,1182850,OTHER
1976,ALABAMA,AL,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,1481,1182850,LIBERTARIAN
1976,ALABAMA,AL,US PRESIDENT,,,TRUE,308,1182850,OTHER
1976,ALASKA,AK,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,71555,123574,REPUBLICAN
1976,ALASKA,AK,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,44058,123574,DEMOCRAT
1976,ALASKA,AK,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,6785,123574,LIBERTARIAN
1976,ALASKA,AK,US PRESIDENT,,,TRUE,1176,123574,OTHER
1976,ARIZONA,AZ,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,418642,742719,REPUBLICAN
1976,ARIZONA,AZ,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,295602,742719,DEMOCRAT
1976,ARIZONA,AZ,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,FALSE,19229,742719,OTHER
1976,ARIZONA,AZ,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,7647,742719,LIBERTARIAN
1976,ARIZONA,AZ,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,FALSE,928,742719,OTHER
1976,ARIZONA,AZ,US PRESIDENT,"ANDERSON, THOMAS J.",AMERICAN,FALSE,564,742719,OTHER
1976,ARIZONA,AZ,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,FALSE,85,742719,OTHER
1976,ARIZONA,AZ,US PRESIDENT,,,TRUE,22,742719,OTHER
1976,ARKANSAS,AR,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,498604,767535,DEMOCRAT
1976,ARKANSAS,AR,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,267903,767535,REPUBLICAN
1976,ARKANSAS,AR,US PRESIDENT,,INDEPENDENT,FALSE,639,767535,OTHER
1976,ARKANSAS,AR,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,FALSE,389,767535,OTHER
1976,CALIFORNIA,CA,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,3882244,7803770,REPUBLICAN
1976,CALIFORNIA,CA,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,3742284,7803770,DEMOCRAT
1976,CALIFORNIA,CA,US PRESIDENT,"MACBRIDE, ROGER",INDEPENDENT,FALSE,56388,7803770,OTHER
1976,CALIFORNIA,CA,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,FALSE,51098,7803770,OTHER
1976,CALIFORNIA,CA,US PRESIDENT,"WRIGHT, MARGARET",PEACE & FREEDOM,FALSE,41731,7803770,OTHER
1976,CALIFORNIA,CA,US PRESIDENT,"CAMEJO, PETER",INDEPENDENT,FALSE,17259,7803770,OTHER
1976,CALIFORNIA,CA,US PRESIDENT,"HALL, GUS",INDEPENDENT,FALSE,12766,7803770,OTHER
1976,COLORADO,CO,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,584278,1081440,REPUBLICAN
1976,COLORADO,CO,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,460801,1081440,DEMOCRAT
1976,COLORADO,CO,US PRESIDENT,"MCCARTHY, EUGENE """"GENE""""",INDEPENDENT,FALSE,26047,1081440,OTHER
1976,COLORADO,CO,US PRESIDENT,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,5338,1081440,LIBERTARIAN
1976,COLORADO,CO,US PRESIDENT,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,FALSE,2886,1081440,OTHER
1976,COLORADO,CO,US PRESIDENT,"CAMEJO, PETER",SOCIALIST WORKERS,FALSE,1122,1081440,OTHER
1976,COLORADO,CO,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,FALSE,565,1081440,OTHER
1976,COLORADO,CO,US PRESIDENT,"HALL, GUS",COMMUNIST PARTY USE,FALSE,403,1081440,OTHER
1976,CONNECTICUT,CT,US PRESIDENT,"FORD, GERALD",REPUBLICAN,FALSE,719261,1386355,REPUBLICAN
1976,CONNECTICUT,CT,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,647895,1386355,DEMOCRAT
1976,CONNECTICUT,CT,US PRESIDENT,SCATTERING,,FALSE,10309,1386355,OTHER
1976,CONNECTICUT,CT,US PRESIDENT,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,FALSE,7101,1386355,OTHER
1976,CONNECTICUT,CT,US PRESIDENT,"LAROUCHE, LYNDON, JR.",U.S. LABOR,FALSE,1789,1386355,OTHER
1976,DELAWARE,DE,US PRESIDENT,"CARTER, JIMMY",DEMOCRAT,FALSE,122461,235642,DEMOCRAT
